Date,bbReturnLogOpen_pband_w46_stdDev3.479652436716822,macdReturnLogOpen_fW2_sW16_signal23,rsi_w15,macd_fW15_sW21_signal30,rsiReturnLogOpen_w15,macd_fW17_sW43_signal48,bbReturnLogOpen_lband_w43_stdDev0.5607752064443937,adx_pos_w5,stochRsiReturnLogOpen_k_w30_s13_s213,aroon_down_w49,stochRsiReturnLogOpen_stochrsi_w3_s111_s229,stochRsiReturnLogOpen_k_w3_s111_s229,aroonReturnLogOpen_up_w32,bbReturnLogOpen_lband_w7_stdDev1.4297935115233904,aroon_indicator_w32,aroon_indicator_w9,macdReturnLogOpen_fW4_sW48_signal41,aroon_up_w49,stochRsi_k_w3_s111_s229,macd_signal_fW17_sW43_signal48
2017-06-15,0.6206516153614293,-0.0019617320593701,64.32063600352159,-6.068111073010641,53.03271991300841,-21.917691573459702,-0.0012720100496062,22.630156405525792,0.6754425542515982,14.285714285714285,1.0,0.679506824797016,46.875,-0.0035663112098637,56.25,55.55555555555556,-0.0010949449893071,97.95918367346938,0.4579685255139468,-17.422689634123834
2017-06-16,0.1857913675105926,0.0043882138025154,60.65913745327568,-5.763614112361665,42.59366182467443,-21.534745860485145,-0.0014456063873286,16.826569413639568,0.6169564321688833,12.244897959183673,0.0,0.588597733887925,43.75,-0.0061467209869866,56.25,55.55555555555557,0.0025365477271423,95.91836734693877,0.4579685255139468,-17.590528663771234
2017-06-19,0.5805081717194249,-0.0001174424173431,60.96002482901736,-5.4794257357816605,51.88528449751492,-21.14636006574256,-0.0012521584132216,14.384252002368711,0.6058798747903457,10.20408163265306,0.8179259009965189,0.6177006678806091,40.625,-0.0059865932170019,56.25,55.55555555555554,0.0006406843897039,93.87755102040816,0.3819632030892441,-17.7356646393619
2017-06-20,0.637248318977967,-0.0023758444367631,68.54722085110592,-5.883488959472743,53.15512202683652,-22.043509500774235,-0.0012474161774861,37.28542455255669,0.61335604955501,8.16326530612245,1.0,0.6177006678806091,37.5,-0.0059064889567114,68.75,55.55555555555556,-0.0010774215711854,100.0,0.3819632030892441,-17.911495041868523
2017-06-21,0.5848906606081737,-0.0021254981962737,58.665309734210766,-5.577933752394074,52.01848464512389,-21.614663461665717,-0.0012203464923169,29.295754452261093,0.8119247326390425,6.122448979591836,0.0,0.5936935605840566,34.375,-0.0057153854932169,68.75,55.55555555555556,-0.0015721830531691,97.95918367346938,0.3835573625545007,-18.062644773288817
2017-06-22,0.2962905145094932,0.0024833045497962,57.89251276790945,-5.223086435656114,45.73319673083936,-21.048401934358026,-0.0013268933538142,24.773519796332565,0.6814197873753175,4.081632653061225,0.0,0.5936935605840566,31.25,-0.0058358352667925,68.75,55.55555555555557,0.0010267149778673,95.91836734693877,0.3835573625545007,-18.18451241251613
2017-06-23,0.4399214560395056,0.0015255503109352,57.26067686863036,-4.843623698463944,48.93890176643984,-20.388746707052636,-0.0014394376794557,21.726839577466396,0.5898365438477531,2.0408163265306123,0.6643477774397133,0.5819850110690494,28.125,-0.0062807575810637,68.75,55.55555555555554,0.0011196537390509,93.87755102040816,0.3482844841918939,-18.274481159231907
2017-06-26,0.4297916099699947,0.0013138982678817,58.90562304521772,-4.616284280082709,48.66311816161047,-19.975563928624524,-0.0015675736440238,18.266493592397605,0.5158854599843473,6.122448979591836,0.911842923554658,0.5739707313922001,25.0,-0.0066337558712051,68.75,22.22222222222223,0.0012789621859751,91.83673469387756,0.3482844841918939,-18.34391310900304
2017-06-27,0.5961270534691516,-0.0014228560089196,59.2461632097483,-4.409238996298427,52.5470501661536,-19.57465475287563,-0.0015807638608495,28.368768926842552,0.6585369829022023,4.081632653061225,1.0,0.5812833274537174,21.875,-0.0033397377709187,68.75,22.22222222222222,-0.0003325501060849,89.79591836734694,0.4391935751009848,-18.39414746181416
2017-06-28,0.3684400441601565,0.0014061459173992,48.28391340286512,-3.5231825701412163,47.2956140606191,-17.842837538794356,-0.0017279799029145,20.27851325207945,0.6234734330427594,2.0408163265306123,0.0,0.5812833274537174,18.75,-0.0044167663833814,68.75,-66.66666666666667,0.0010498443630675,87.75510204081633,0.4391935751009848,-18.37164501597662
2017-06-29,0.3638931107304626,0.0022816369749949,57.4197050760057,-3.504808063097244,47.07563447360742,-17.682446792401606,-0.0018290888588768,17.879567494395435,0.5895690942480019,4.081632653061225,0.0,0.4903742365446265,15.625,-0.0050154680086927,68.75,-66.66666666666666,0.0019288524508552,85.71428571428571,0.4391935751009848,-18.343514476238862
2017-06-30,0.6868392798714346,-0.0024479367650878,48.397122058468426,-2.734796764696057,54.21272354521013,-16.07892171546655,-0.0017789462114081,11.42111227852712,0.6249738868269277,2.0408163265306123,1.0,0.4903742365446265,12.5,-0.0054374858116145,68.75,-66.66666666666667,-0.0007423642357672,83.6734693877551,0.4167071701004716,-18.25108211865632
2017-07-03,0.2911764771471274,0.0024074701804812,49.8882997278786,-2.2176864824200493,45.86756210892714,-14.8807316020675,-0.0018985190715427,9.857366571158446,0.5377439427314138,36.734693877551024,0.0,0.4903742365446265,9.375,-0.0057467337247353,68.75,11.111111111111128,0.0016934391582463,81.63265306122449,0.4398650495386609,-18.11351679144861
2017-07-05,0.5189881661051927,0.0001812640694468,52.12571823718166,-1.9720601952271863,50.53696138486944,-14.156613414582807,-0.0019020645709749,15.203418849505912,0.5889941964484419,34.69387755102041,0.5299599005910814,0.4641955092350412,6.25,-0.0055566177209593,65.625,11.1111111111111,0.0008004312752868,79.59183673469387,0.5158703719633637,-17.952010531168373
